,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,groupe_tenure
2040,6298-QDFNH,Male,NO,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,1730.35,12-24 month
2041,7398-HPYZQ,Male,NO,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),90.55,6404.0,>60 month
2042,3546-GHEAE,Male,NO,No,No,7,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.45,165.35,0-12 month
2043,7361-YPXFS,Female,YES,No,No,28,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.45,1867.6,24-36 month
2044,6557-BZXLQ,Male,YES,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,1043.3,12-24 month
2045,2550-QHZGP,Male,NO,No,No,7,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.5,128.6,0-12 month
2046,7519-JTWQH,Female,NO,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.5,7455.45,>60 month
2047,2538-OIMXF,Female,NO,No,Yes,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,0-12 month
2048,8543-MSDMF,Male,NO,No,No,3,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.4,206.15,0-12 month
2049,9961-JBNMK,Male,YES,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,2030.3,12-24 month
2050,1170-SASML,Female,NO,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.4,5869.4,>60 month
2051,4872-JCVCA,Female,NO,Yes,No,71,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.6,3377.8,>60 month
2052,5346-BZCHP,Female,NO,Yes,Yes,69,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.4,1346.2,>60 month
2053,2038-LLMLM,Female,NO,No,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,4946.05,36-48 month
2054,6173-ITPWD,Male,NO,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.35,4065.0,36-48 month
2055,9734-UYXQI,Female,NO,No,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,106.55,0-12 month
2056,1216-BGTSP,Male,NO,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.45,4964.7,36-48 month
2057,4138-NAXED,Male,NO,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.0,4085.75,48-60 month
2058,2189-UXTKY,Female,NO,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.2,1742.75,12-24 month
2059,0744-BIKKF,Male,NO,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.65,6224.8,>60 month
2060,7483-IQWIB,Male,NO,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.95,3415.25,36-48 month
2061,5248-KWLAR,Male,NO,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.35,6325.25,>60 month
2062,4958-GZWIY,Male,NO,Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,48.7,340.25,0-12 month
2063,7996-MHXLW,Female,NO,No,No,66,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.15,1683.6,>60 month
2064,7833-PKIHD,Male,NO,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),76.4,3966.3,48-60 month
2065,7061-OVMIM,Female,NO,Yes,Yes,30,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.55,608.5,24-36 month
2066,5153-RTHKF,Female,NO,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,85.35,2896.6,24-36 month
2067,1852-QSWCD,Male,NO,Yes,Yes,64,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,24.8,1514.85,>60 month
2068,4832-VRBMR,Male,YES,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,6792.45,>60 month
2069,9079-LWTFD,Male,NO,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,100.75,4669.2,36-48 month
2070,6356-ELRKD,Female,NO,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,95.6,0-12 month
2071,8624-GIOUT,Female,NO,No,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.75,2934.3,48-60 month
2072,3392-EHMNK,Female,NO,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),94.1,6302.8,>60 month
2073,5986-WWXDV,Male,NO,No,Yes,39,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.35,779.2,36-48 month
2074,3061-BCKYI,Male,NO,No,No,14,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.9,283.75,12-24 month
2075,6179-GJPSO,Female,YES,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,4600.7,36-48 month
2076,7901-TBKJX,Male,YES,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,48-60 month
2077,7228-PAQPD,Female,NO,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),59.1,772.85,12-24 month
2078,3177-LASXD,Female,NO,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.35,71.35,0-12 month
2079,7746-QYVCO,Male,NO,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,55.85,857.8,12-24 month
2080,5804-HYIEZ,Male,NO,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,>60 month
2081,9919-FZDED,Male,YES,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,5981.65,>60 month
2082,5934-TSSAU,Female,NO,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,12-24 month
2083,3486-KHMLI,Male,NO,No,Yes,21,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,467.15,12-24 month
2084,4897-QSUYC,Female,NO,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.15,20.15,0-12 month
2085,1084-UQCHV,Male,NO,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,69.75,0-12 month
2086,8290-YWKHZ,Female,YES,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.2,2931.0,24-36 month
2087,2955-BJZHG,Male,NO,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.85,1400.85,12-24 month
2088,3806-DXQOM,Female,NO,No,No,4,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.65,137.85,0-12 month
2089,6784-XYJAE,Female,NO,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,55.8,1941.5,24-36 month
2090,3933-DQPWX,Female,NO,No,No,50,No,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),39.7,1932.75,48-60 month
2091,6661-EIPZC,Female,NO,Yes,Yes,48,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.5,1423.05,36-48 month
2092,8957-THMOA,Female,NO,No,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.15,970.85,48-60 month
2093,2251-PYLPB,Male,NO,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),79.55,5810.9,>60 month
2094,5555-RNPGT,Male,NO,No,Yes,10,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),24.8,223.9,0-12 month
2095,1057-FOGLZ,Female,NO,No,No,18,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.65,391.7,12-24 month
2096,9300-RENDD,Male,NO,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,79.95,0-12 month
2097,0761-AETCS,Female,NO,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.3,19.3,0-12 month
2098,8087-LGYHQ,Male,NO,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.05,811.65,0-12 month
2099,4137-BTIKL,Male,NO,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.75,174.75,0-12 month
2100,2190-BCXEC,Female,NO,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,36-48 month
2101,6227-FBDXH,Male,NO,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),99.5,6841.45,>60 month
2102,2153-MREFK,Female,NO,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.2,3754.6,36-48 month
2103,2911-WDXMV,Male,NO,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.55,1406.65,12-24 month
2104,7206-PQBBZ,Male,YES,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,834.7,0-12 month
2105,3106-ULWFW,Female,NO,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.2,627.4,0-12 month
2106,0925-VYDLG,Female,NO,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,242.0,0-12 month
2107,4547-FZJWE,Male,NO,Yes,Yes,55,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),59.45,3157.0,48-60 month
2108,7422-WNBTY,Male,NO,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.35,3092.0,24-36 month
2109,0842-IWYCP,Female,NO,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,36-48 month
2110,3521-HTQTV,Male,NO,No,No,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),26.1,980.35,24-36 month
2111,3744-ZBHON,Female,NO,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,20.2,65.95,0-12 month
2112,3373-DIUUN,Male,NO,Yes,Yes,30,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,21.25,711.9,24-36 month
2113,8383-SGHJU,Female,NO,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.4,1952.8,24-36 month
2114,7607-QKKTJ,Male,NO,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),95.0,4368.85,36-48 month
2115,7707-PYBBH,Male,NO,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2647.1,36-48 month
2116,8984-HPEMB,Female,NO,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.65,8477.6,>60 month
2117,4349-GFQHK,Male,NO,No,No,1,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.35,54.35,0-12 month
2118,4139-DETXS,Female,NO,Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.45,4528.0,>60 month
2119,9779-DPNEJ,Female,NO,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,1790.65,12-24 month
2120,9805-FILKB,Male,NO,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.2,845.6,36-48 month
2121,5793-YOLJN,Female,NO,Yes,Yes,55,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,21.0,1210.3,48-60 month
2122,0673-IGUQO,Male,NO,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.45,20.45,0-12 month
2123,4123-FCVCB,Female,NO,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,75.85,854.45,0-12 month
2124,8819-IMISP,Male,NO,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.45,2429.1,24-36 month
2125,7802-EFKNY,Male,NO,Yes,No,5,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,100.4,0-12 month
2126,8311-UEUAB,Female,NO,Yes,Yes,67,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.5,5229.45,>60 month
2127,5858-EAFCZ,Male,NO,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,44.45,0-12 month
2128,8035-BUYVG,Male,NO,Yes,No,40,No,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,42.35,1716.45,36-48 month
2129,1163-ONYEY,Male,NO,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.55,3023.55,36-48 month
2130,9787-XVQIU,Male,NO,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.3,75.3,0-12 month
2131,8945-MUQUF,Male,NO,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,94.8,4837.6,48-60 month
2132,5656-MJEFC,Male,NO,Yes,Yes,42,No,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),48.15,2032.3,36-48 month
2133,6082-OQFBA,Male,NO,Yes,Yes,23,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.65,436.9,12-24 month
2134,8051-HJRLT,Female,YES,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.55,70.55,0-12 month
2135,8974-OVACP,Female,NO,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,0-12 month
2136,4010-YLMVT,Female,NO,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.6,5893.95,48-60 month
2137,1379-FRVEB,Male,NO,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,12-24 month
2138,8612-GXIDD,Male,NO,Yes,Yes,12,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.4,313.0,0-12 month
2139,6288-CHQJB,Female,NO,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,48-60 month
2140,8160-HOWOX,Female,NO,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.85,458.1,0-12 month
2141,3023-GFLBR,Female,NO,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.15,2745.7,24-36 month
2142,6648-INWPS,Male,NO,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,20.15,341.35,12-24 month
2143,4223-BKEOR,Female,NO,No,Yes,21,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,64.85,1336.8,12-24 month
2144,4079-VTGLK,Male,YES,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,74.85,2181.75,24-36 month
2145,1763-WQFUK,Male,NO,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.5,147.75,0-12 month
2146,1391-UBDAR,Male,NO,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9,818.45,0-12 month
2147,8894-JVDCV,Female,NO,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),115.05,7133.45,>60 month
2148,2023-VQFDL,Male,NO,No,No,18,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.0,348.8,12-24 month
2149,1345-GKDZZ,Male,NO,No,Yes,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.55,128.6,0-12 month
2150,2014-MKGMH,Female,NO,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.1,4674.4,36-48 month
2151,5628-FCGYG,Male,NO,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.1,1737.45,12-24 month
2152,2560-WBWXF,Male,NO,No,No,68,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.15,1498.85,>60 month
2153,0248-IPDFW,Female,NO,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,50.1,0-12 month
2154,7978-DKUQH,Female,NO,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.6,1797.75,24-36 month
2155,4335-UPJSI,Female,NO,No,Yes,24,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.75,498.1,12-24 month
2156,0524-IAVZO,Female,NO,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,2624.25,24-36 month
2157,2737-YNGYW,Female,NO,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.55,184.1,0-12 month
2158,1784-EZDKJ,Male,NO,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.8,5498.8,48-60 month
2159,9297-FVVDH,Female,NO,Yes,Yes,57,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.5,4845.4,48-60 month
2160,8007-YYPWD,Female,NO,No,No,15,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.05,369.1,12-24 month
2161,7101-HRBLJ,Female,NO,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),83.7,6096.9,>60 month
2162,5159-YFPKQ,Female,NO,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.8,160.75,0-12 month
2163,6635-CPNUN,Male,NO,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),96.6,2684.35,24-36 month
2164,4021-RQSNY,Male,YES,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,3004.15,24-36 month
2165,5453-YBTWV,Male,NO,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),101.1,6994.8,>60 month
2166,5039-LZRQT,Female,NO,No,No,13,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.2,273.25,12-24 month
2167,2931-VUVJN,Female,YES,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,94.05,5483.9,48-60 month
2168,9061-TIHDA,Male,YES,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.25,1233.65,12-24 month
